1E222800|0000CACC|00000C0B|\snd\adx\mev\s000800_01miy.adx
1E22F800|00009E26|00000C18|\snd\adx\mev\s000800_02shi.adx
1E239800|0000D480|00000C25|\snd\adx\mev\s000800_03miy.adx
1E247000|000066AC|00000C39|\snd\adx\mev\s000800_04_1shi.adx
1E24D800|00005344|00000C43|\snd\adx\mev\s000800_04_2shi.adx
1E253000|0000E2FC|00000C54|\snd\adx\mev\s000800_04shi.adx
1E261800|000106B4|00000C61|\snd\adx\mev\s000800_05can.adx
1E272000|00005BB4|00000C6E|\snd\adx\mev\s000800_06shi.adx
1E278000|0000BCBC|00000C82|\snd\adx\mev\s000800_07_1doc.adx
1E284000|0000D19E|00000C8C|\snd\adx\mev\s000800_07_2doc.adx
1E291800|0000B398|00000C9B|\snd\adx\mev\s000800_08_1shi.adx
1E29D000|000050AA|00000CA5|\snd\adx\mev\s000800_08_2shi.adx
1E2A2800|00005A3A|00000CAF|\snd\adx\mev\s000800_08_3shi.adx
1E2A8800|0000B94A|00000CBE|\snd\adx\mev\s000800_09_1doc.adx
1E2B4800|000128F2|00000CC8|\snd\adx\mev\s000800_09_2doc.adx
1E2C7800|000017C8|00000CDB|\snd\adx\mev\s000800_10shi.adx
1E2C9000|0000CF82|00000CE8|\snd\adx\mev\s000800_11doc.adx
1E2D6000|0000295C|00000CFC|\snd\adx\mev\s000800_12_1can.adx
1E2D9000|000079F0|00000D06|\snd\adx\mev\s000800_12_2can.adx
1E2E1000|00006760|00000D18|\snd\adx\mev\s000800_13doc.adx
1E2E7800|00012C1C|00000D25|\snd\adx\mev\s000800_14miy.adx
1E2FA800|0000F0FA|00000D32|\snd\adx\mev\s000800_15shi.adx
1E30A000|0000AD20|00000D3F|\snd\adx\mev\s000800_16miy.adx
1E315000|0000301C|00000D53|\snd\adx\mev\s000800_17_1shi.adx
1E318800|0000CF94|00000D5D|\snd\adx\mev\s000800_17_2shi.adx
1E325800|0000A8A0|00000D6F|\snd\adx\mev\s000800_18miy.adx
1E330800|0000EC0E|00000D7C|\snd\adx\mev\s000800_19shi.adx
1E33F800|00004CCC|00000D91|\snd\adx\mev\s000800_20_1miy.adx
1E344800|0000B5B4|00000D9B|\snd\adx\mev\s000800_20_2miy.adx
1E350000|00007BE8|00000DAA|\snd\adx\mev\s000800_21_1shi.adx
1E358000|0000AF2A|00000DB4|\snd\adx\mev\s000800_21_2shi.adx
1E363000|00011BBA|00000DC6|\snd\adx\mev\s000800_22miy.adx
1E375000|0000E27E|00000DDA|\snd\adx\mev\s000800_23_1shi.adx
1E383800|00010450|00000DE4|\snd\adx\mev\s000800_23_2shi.adx
1E394000|0000A3B4|00000DEE|\snd\adx\mev\s000800_23_3shi.adx
1E39E800|00010D3E|00000DFA|\snd\adx\mev\s000800_24_1shi.adx
1E3AF800|0000F33A|00000E04|\snd\adx\mev\s000800_24_2shi.adx
1E3BF000|0000E37A|00000E0E|\snd\adx\mev\s000800_24_3shi.adx
1E3CD800|00005998|00000E18|\snd\adx\mev\s000800_24_4shi.adx
1E3D3800|0000F8A4|00000E22|\snd\adx\mev\s000800_24_5shi.adx
1E3E3800|000119C2|00000E31|\snd\adx\mev\s000800_25_1miy.adx
1E3F5800|0000A50A|00000E3B|\snd\adx\mev\s000800_25_2miy.adx
1E400000|00003712|00000E4A|\snd\adx\mev\s000800_26_1shi.adx
1E403800|0000A48C|00000E54|\snd\adx\mev\s000800_26_2shi.adx
1E40E000|00016DDA|00000E5E|\snd\adx\mev\s000800_26_3shi.adx
1E425000|0000CC58|00000E70|\snd\adx\mev\s000800_27miy.adx
1E432000|00002D70|00000E7D|\snd\adx\mev\s000800_28shi.adx
1E435000|0000DB40|00000E8A|\snd\adx\mev\s000800_29miy.adx
1E443000|000151F0|00000E98|\snd\adx\mev\s000800_30shi.adx
1E458800|0000D1B0|00000EA5|\snd\adx\mev\s000800_31miy.adx
1E466000|0000D2D0|00000EB9|\snd\adx\mev\s000800_32_1shi.adx
1E473800|0000F2F2|00000EC3|\snd\adx\mev\s000800_32_2shi.adx
1E483000|0000E008|00000ED5|\snd\adx\mev\s000800_33miy.adx
1E491800|0000E098|00000EE2|\snd\adx\mev\s000800_34shi.adx
1E4A0000|00010A38|00000EF6|\snd\adx\mev\s000800_35_1shi.adx
1E4B1000|000104F2|00000F00|\snd\adx\mev\s000800_35_2shi.adx
1E4C1800|00006D24|00000F0A|\snd\adx\mev\s000800_35_3shi.adx
1E4C8800|00010F6C|00000F28|\snd\adx\mev\s000900_01_01all.adx
1E4D9800|000127F6|00000F32|\snd\adx\mev\s000900_01_02all.adx
1E4EC000|0000CBFE|00000F3C|\snd\adx\mev\s000900_01_03all.adx
1E4F9000|0000E878|00000F46|\snd\adx\mev\s000900_01_04all.adx
1E508000|0000EEBA|00000F50|\snd\adx\mev\s000900_01_05all.adx
1E517000|0000AB04|00000F5A|\snd\adx\mev\s000900_01_06all.adx
1E522000|000111F4|00000F64|\snd\adx\mev\s000900_01_07all.adx
1E533800|0000D438|00000F6E|\snd\adx\mev\s000900_01_08all.adx
1E541000|0000F934|00000F78|\snd\adx\mev\s000900_01_09all.adx
1E551000|0000917E|00000F83|\snd\adx\mev\s000900_01_10all.adx
1E55A800|0000EF14|00000F97|\snd\adx\mev\s000900_01_11_1all.adx
1E569800|0000A348|00000FA1|\snd\adx\mev\s000900_01_11_2all.adx
1E574000|0000D798|00000FB3|\snd\adx\mev\s000900_01_12all.adx
1E581800|00010A4A|00000FBD|\snd\adx\mev\s000900_01_13all.adx
1E592800|00007AB6|00000FC7|\snd\adx\mev\s000900_01_14all.adx
1E59A800|00017BB4|00000FD1|\snd\adx\mev\s000900_01_15all.adx
1E5B2800|00018022|00000FE3|\snd\adx\mev\s000900_02shi.adx
1E5CB000|00009CBE|00000FED|\snd\adx\mev\s000900_03shi.adx
1E5D5000|0000CABA|00001000|\snd\adx\mev\s001000_01all.adx
1E5E2000|00007C0C|0000100D|\snd\adx\mev\s001000_02shi.adx
1E5EA000|00008BCC|00001021|\snd\adx\mev\s001000_03_1all.adx
1E5F3000|0000727C|0000102B|\snd\adx\mev\s001000_03_2all.adx
