001D0000|00005C80|00000AB8|\mg1\com\Motion\MGmiyuki00.sme
001D6000|00007140|00000AC9|\mg1\com\Motion\MGmomo.sme
001DD800|00005900|00000ADC|\mg1\com\Motion\MGscott.sme
001E3800|00007680|00000AF0|\mg1\com\Motion\MGshelley.sme
001EB000|00005940|00000AFE|\mg1\com\Motion\MGshion00.sme
001F1000|00005640|00000B08|\mg1\com\Motion\MGshion01.sme
001F6800|00006600|00000B1B|\mg1\com\Motion\MGtonny.sme
001FD000|00004C80|00000B30|\mg1\com\Motion\MGziggy00.sme
00202000|00052840|00000B59|\mg1\com\Sound\system\MINI_SYS.dap
00255000|0002E000|00000B78|\mg1\com\Sound\voice\MINI_alb.dat
00283000|00025800|00000B82|\mg1\com\Sound\voice\MINI_all.dat
002A8800|00019800|00000B8E|\mg1\com\Sound\voice\MINI_can.dat
002C2000|0001C800|00000B99|\mg1\com\Sound\voice\MINI_cha.dat
002DE800|0001E000|00000BA5|\mg1\com\Sound\voice\MINI_gai.dat
002FC800|00029000|00000BB1|\mg1\com\Sound\voice\MINI_hak.dat
00325800|0001A800|00000BBB|\mg1\com\Sound\voice\MINI_ham.dat
00340000|0001A000|00000BC6|\mg1\com\Sound\voice\MINI_hya.dat
0035A000|00024800|00000BD2|\mg1\com\Sound\voice\MINI_jin.dat
0037E800|0001A800|00000BE1|\mg1\com\Sound\voice\MINI_jr.dat
00399000|00026000|00000BF2|\mg1\com\Sound\voice\MINI_kos.dat
003BF000|00018000|00000BFE|\mg1\com\Sound\voice\MINI_mar.dat
003D7000|00028000|00000C08|\mg1\com\Sound\voice\MINI_mat.dat
003FF000|00026000|00000C13|\mg1\com\Sound\voice\MINI_miy.dat
00425000|00018800|00000C1E|\mg1\com\Sound\voice\MINI_mom.dat
0043D800|00023800|00000C2A|\mg1\com\Sound\voice\MINI_sco.dat
00461000|0001E000|00000C35|\mg1\com\Sound\voice\MINI_she.dat
0047F000|00019800|00000C3F|\mg1\com\Sound\voice\MINI_shi.dat
00498800|00023000|00000C4B|\mg1\com\Sound\voice\MINI_ton.dat
004BB800|0001F800|00000C57|\mg1\com\Sound\voice\MINI_zig.dat
007B9000|00008780|00000C6D|\mnu\umn.bin
007C2000|00011980|00000C81|\mnu\credit.bin
007EC000|00008290|00000C96|\mnu\titlebg.png
007F4800|00000FB8|00000CAA|\mnu\obj288.xap
007F5800|00010050|00000CBC|\mnu\ctrl.xtx
00806000|000392C0|00000CD1|\mnu\diskchg.bin
0083F800|0000A940|00000CE0|\mnu\skillbg.bin
0084A800|00002600|00000CF0|\mnu\monitor.bin
0084D000|00050050|00000D04|\mnu\itemcap.xtx
0089D800|0001EC50|00000D18|\mnu\segcap.xtx
0C84E000|00006360|00000D29|\mnu\umn.pxy
0C854800|00002350|00000D33|\mnu\umn.txy
0063A000|00078C00|00000D4C|\mnu\us\font1.bin
0071B800|00040050|00000D61|\mnu\us\window0.xtx
007B5000|00003C1C|00000D77|\mnu\us\menutext.txd
007C1800|0000049E|00000D8B|\mnu\us\devchk.txd
007D4000|00009050|00000DA1|\mnu\us\titleobj.xtx
007DD800|0000E0A4|00000DB0|\mnu\us\title1.png
008BC800|00040050|00000DC5|\mnu\us\window1.xtx
008FD000|00040050|00000DCF|\mnu\us\window2.xtx
0093D800|0007CC17|00000DE0|\mnu\us\DBC.bin
009BA800|0007CD07|00000DEF|\mnu\us\DBC2.bin
00A37800|0000022F|00000E04|\mnu\us\discchg.txd
00A38000|0000958E|00000E18|\mnu\us\gameov1.jpg
00A41800|00003300|00000E2A|\mnu\us\icon.bin
00A45000|000039C4|00000E3E|\mnu\us\MVtext.bin
00A49000|00000212|00000E55|\mnu\us\njBtlText.bin
00A49800|00004E97|00000E6B|\mnu\us\njDataText.bin
00A4E800|00000295|00000E7B|\mnu\us\njDBcommon.bin
00A4F000|00000E7E|00000E98|\mnu\us\SegmentFileData.bin
00A50000|00003605|00000EAA|\mnu\us\wall.jpg
019EF800|00004137|00000EBA|\mnu\us\syno.png
019F4000|0000B66C|00000ECC|\mnu\us\synopsis.txd
62251800|00078C00|00000EDF|\mnu\us\font0.bin
00A85000|000096E0|00000EFC|\mnu\pse\E3_EVE51.pxy
00A8E800|00011750|00000F06|\mnu\pse\E3_EVE51.txy
00AA0000|00015370|00000F12|\mnu\pse\E3_EVE52.pxy
00AB5800|000103B0|00000F1C|\mnu\pse\E3_EVE52.txy
00AC6000|00011510|00000F28|\mnu\pse\E3_EVE53.pxy
00AD7800|00035BD0|00000F32|\mnu\pse\E3_EVE53.txy
00B0D800|000011EC|00000F49|\mnu\pse\ep_action.txt
00B0F000|00000536|00000F59|\mnu\pse\ep_pp.txt
016BA000|0000204A|00000F6D|\mnu\pse\episode1.txt
016BC800|0000052F|00000F7C|\mnu\pse\episode11.txt
016BD000|000026A1|00000F8B|\mnu\pse\episode2.txt
016BF800|000E0040|00000F9F|\mnu\pse\haikei.tm2
017CC000|000006C2|00000FB4|\mnu\pse\opening.txt
017CC800|0001FC83|00000FC6|\mnu\pse\test.jpg
00B0F800|000242EF|00000FE5|\mnu\pse\EP1\001_000001.jpg
00B34000|0001E6DE|00000FF7|\mnu\pse\EP1\001_000002_01.jpg
00B52800|0001F83D|00001001|\mnu\pse\EP1\001_000002_02.jpg
00B72800|0002CCAD|00001010|\mnu\pse\EP1\001_000004.jpg
00B9F800|000155A6|0000101A|\mnu\pse\EP1\001_000005.jpg
00BB5000|000349DB|00001024|\mnu\pse\EP1\001_000006.jpg
00BEA000|00029E33|0000102E|\mnu\pse\EP1\001_000007.jpg
00C14000|0002435A|00001038|\mnu\pse\EP1\001_000008.jpg
00C38800|0002830E|00001042|\mnu\pse\EP1\001_000009.jpg
00C61000|0001BCEA|0000104D|\mnu\pse\EP1\001_000010.jpg
00C7D000|00021965|00001057|\mnu\pse\EP1\001_000011.jpg
00C9F000|0001F6BE|00001061|\mnu\pse\EP1\001_000012.jpg
00CBE800|0001B487|0000106B|\mnu\pse\EP1\001_000013.jpg
00CDA000|000249F1|0000107D|\mnu\pse\EP1\001_000014_01.jpg
00CFF000|00017ABB|00001087|\mnu\pse\EP1\001_000014_02.jpg
00D17000|00015A87|00001096|\mnu\pse\EP1\001_000016.jpg
00D2D000|00018F28|000010A0|\mnu\pse\EP1\001_000017.jpg
00D46000|0002D942|000010AA|\mnu\pse\EP1\001_000018.jpg
00D74000|00026204|000010B4|\mnu\pse\EP1\001_000019.jpg
00D9A800|000235C2|000010C7|\mnu\pse\EP1\001_000020_01.jpg
00DBE000|00020F8F|000010D1|\mnu\pse\EP1\001_000020_02.jpg
00DDF000|000277B4|000010E0|\mnu\pse\EP1\001_000022.jpg
00E06800|00029676|000010EA|\mnu\pse\EP1\001_000023.jpg
00E30000|000282B2|000010F4|\mnu\pse\EP1\001_000024.jpg
00E58800|0002454D|000010FE|\mnu\pse\EP1\001_000025.jpg
00E7D000|00027130|00001108|\mnu\pse\EP1\001_000026.jpg
00EA4800|000230E1|00001112|\mnu\pse\EP1\001_000027.jpg
00EC8000|00019A68|0000111C|\mnu\pse\EP1\001_000028.jpg
00EE2000|000228DE|00001126|\mnu\pse\EP1\001_000029.jpg
00F05000|00011027|00001131|\mnu\pse\EP1\001_000030.jpg
00F16800|0002B4E7|0000113B|\mnu\pse\EP1\001_000031.jpg
00F42000|0001E2C1|00001145|\mnu\pse\EP1\001_000032.jpg
00F60800|0001DD98|0000114F|\mnu\pse\EP1\001_000033.jpg
00F7E800|00022E3D|00001159|\mnu\pse\EP1\001_000034.jpg
00FA1800|00026BA7|00001163|\mnu\pse\EP1\001_000035.jpg
00FC8800|0002A0F9|0000116D|\mnu\pse\EP1\001_000036.jpg
00FF3000|000246D6|0000117F|\mnu\pse\EP1\001_000037_01.jpg
01017800|000254F3|00001189|\mnu\pse\EP1\001_000037_02.jpg
0103D000|0002A3AE|00001198|\mnu\pse\EP1\001_000039.jpg
01067800|0001E714|000011A3|\mnu\pse\EP1\001_000040.jpg
01086000|00024B8C|000011AD|\mnu\pse\EP1\001_000041.jpg
010AB000|00027968|000011B7|\mnu\pse\EP1\001_000042.jpg
010D3000|0002BF6E|000011C1|\mnu\pse\EP1\001_000043.jpg
010FF000|00020669|000011CB|\mnu\pse\EP1\001_000044.jpg
0111F800|0002002A|000011D5|\mnu\pse\EP1\001_000045.jpg
01140000|000213A6|000011DF|\mnu\pse\EP1\001_000046.jpg
01161800|000177C6|000011E9|\mnu\pse\EP1\001_000047.jpg
01179000|00015A8B|000011F3|\mnu\pse\EP1\001_000048.jpg
0118F000|00021070|000011FD|\mnu\pse\EP1\001_000049.jpg
011B0800|000262CF|00001208|\mnu\pse\EP1\001_000050.jpg
011D7000|0002890F|00001212|\mnu\pse\EP1\001_000051.jpg
01200000|0001F05B|0000121C|\mnu\pse\EP1\001_000052.jpg
0121F800|000195B0|00001226|\mnu\pse\EP1\001_000053.jpg
01239000|00020758|00001230|\mnu\pse\EP1\001_000054.jpg
01259800|0001DC32|0000123A|\mnu\pse\EP1\001_000055.jpg
01277800|000153BC|00001244|\mnu\pse\EP1\001_000056.jpg
0128D000|000233A9|0000124E|\mnu\pse\EP1\001_000057.jpg
012B0800|00021161|00001258|\mnu\pse\EP1\001_000058.jpg
012D2000|000210F5|00001263|\mnu\pse\EP1\001_000060.jpg
012F3800|00020476|0000126D|\mnu\pse\EP1\001_000061.jpg
01314000|0001C578|00001277|\mnu\pse\EP1\001_000062.jpg
01330800|0002945B|00001281|\mnu\pse\EP1\001_000063.jpg
0135A000|0000885F|0000128B|\mnu\pse\EP1\001_000064.jpg
01363000|00017BF7|00001295|\mnu\pse\EP1\001_000065.jpg
0137B000|00018542|0000129F|\mnu\pse\EP1\001_000066.jpg
01393800|00021103|000012A9|\mnu\pse\EP1\001_000067.jpg
013B5000|00016273|000012B3|\mnu\pse\EP1\001_000068.jpg
013CB800|00018280|000012BD|\mnu\pse\EP1\001_000069.jpg
013E4000|0001723C|000012C8|\mnu\pse\EP1\001_000070.jpg
013FB800|0001C5EF|000012D2|\mnu\pse\EP1\001_000071.jpg
01418000|00023188|000012DC|\mnu\pse\EP1\001_000072.jpg
0143B800|0000816F|000012F8|\mnu\pse\EP2\002_000000.jpg
01444000|00006306|00001302|\mnu\pse\EP2\002_000001.jpg
0144A800|00005C80|0000130C|\mnu\pse\EP2\002_000002.jpg
01450800|000053FD|00001316|\mnu\pse\EP2\002_000003.jpg
01456000|00005399|00001320|\mnu\pse\EP2\002_000004.jpg
0145B800|000057BD|0000132A|\mnu\pse\EP2\002_000006.jpg
01461000|000090D0|00001334|\mnu\pse\EP2\002_000007.jpg
0146A800|00004A36|0000133E|\mnu\pse\EP2\002_000008.jpg
0146F800|00004791|00001348|\mnu\pse\EP2\002_000009.jpg
01474000|00005C63|00001353|\mnu\pse\EP2\002_000010.jpg
0147A000|00003DD5|0000135D|\mnu\pse\EP2\002_000011.jpg
0147E000|0000753F|00001367|\mnu\pse\EP2\002_000012.jpg
01485800|00005459|00001371|\mnu\pse\EP2\002_000013.jpg
0148B000|00003584|0000137B|\mnu\pse\EP2\002_000014.jpg
0148E800|00007345|00001385|\mnu\pse\EP2\002_000015.jpg
01496000|0000786C|0000138F|\mnu\pse\EP2\002_000016.jpg
0149E000|0000B64C|00001399|\mnu\pse\EP2\002_000017.jpg
014A9800|000077EB|000013A3|\mnu\pse\EP2\002_000018.jpg
014B1000|00007BD5|000013AD|\mnu\pse\EP2\002_000019.jpg
014B9000|000047B2|000013B8|\mnu\pse\EP2\002_000021.jpg
014BD800|00006C75|000013C2|\mnu\pse\EP2\002_000022.jpg
014C4800|00006158|000013CC|\mnu\pse\EP2\002_000023.jpg
